0 TRUE radius:49.151082 length:0.000000 shell:0.000000 aspect_ratio:11.109800 shell_ratio:0.578025 REGRESSED radius:49.089691
1 TRUE radius:447.092191 length:0.000000 shell:0.000000 aspect_ratio:8.603766 shell_ratio:0.459075 REGRESSED radius:447.601842
2 TRUE radius:196.004617 length:0.000000 shell:0.000000 aspect_ratio:12.938621 shell_ratio:0.695763 REGRESSED radius:195.970370
3 TRUE radius:191.506582 length:0.000000 shell:0.000000 aspect_ratio:4.984535 shell_ratio:0.804664 REGRESSED radius:191.359028
4 TRUE radius:106.164892 length:0.000000 shell:0.000000 aspect_ratio:13.241043 shell_ratio:0.312279 REGRESSED radius:106.197009
5 TRUE radius:101.826559 length:0.000000 shell:0.000000 aspect_ratio:2.378444 shell_ratio:0.703960 REGRESSED radius:101.631983
6 TRUE radius:143.624813 length:0.000000 shell:0.000000 aspect_ratio:5.739518 shell_ratio:0.719679 REGRESSED radius:143.620404
7 TRUE radius:107.774913 length:0.000000 shell:0.000000 aspect_ratio:14.220343 shell_ratio:0.464999 REGRESSED radius:107.609284
8 TRUE radius:114.866421 length:0.000000 shell:0.000000 aspect_ratio:2.722973 shell_ratio:0.834431 REGRESSED radius:114.508299
9 TRUE radius:310.274950 length:0.000000 shell:0.000000 aspect_ratio:5.186586 shell_ratio:0.871880 REGRESSED radius:310.023690
10 TRUE radius:48.499164 length:0.000000 shell:0.000000 aspect_ratio:12.596145 shell_ratio:0.349470 REGRESSED radius:48.691129
11 TRUE radius:111.837514 length:0.000000 shell:0.000000 aspect_ratio:15.988985 shell_ratio:0.308857 REGRESSED radius:112.129440
12 TRUE radius:84.373419 length:0.000000 shell:0.000000 aspect_ratio:12.570148 shell_ratio:0.443612 REGRESSED radius:84.258197
13 TRUE radius:104.856033 length:0.000000 shell:0.000000 aspect_ratio:6.470942 shell_ratio:0.876893 REGRESSED radius:104.961519
15 TRUE radius:44.726212 length:0.000000 shell:0.000000 aspect_ratio:9.663594 shell_ratio:0.422511 REGRESSED radius:44.792678
16 TRUE radius:116.929406 length:0.000000 shell:0.000000 aspect_ratio:11.974059 shell_ratio:0.503372 REGRESSED radius:117.557442
17 TRUE radius:213.461876 length:0.000000 shell:0.000000 aspect_ratio:10.255384 shell_ratio:0.850661 REGRESSED radius:213.835798
18 TRUE radius:367.637006 length:0.000000 shell:0.000000 aspect_ratio:9.985687 shell_ratio:0.370162 REGRESSED radius:367.927490
19 TRUE radius:413.713397 length:0.000000 shell:0.000000 aspect_ratio:8.966630 shell_ratio:0.275801 REGRESSED radius:413.281927
20 TRUE radius:232.200498 length:0.000000 shell:0.000000 aspect_ratio:3.041652 shell_ratio:0.700901 REGRESSED radius:231.491732
21 TRUE radius:200.085073 length:0.000000 shell:0.000000 aspect_ratio:4.087420 shell_ratio:0.708428 REGRESSED radius:199.743569
22 TRUE radius:50.814105 length:0.000000 shell:0.000000 aspect_ratio:10.027193 shell_ratio:0.428749 REGRESSED radius:50.659595
23 TRUE radius:112.061138 length:0.000000 shell:0.000000 aspect_ratio:2.043311 shell_ratio:0.864834 REGRESSED radius:112.083937
24 TRUE radius:154.685537 length:0.000000 shell:0.000000 aspect_ratio:8.634774 shell_ratio:0.483055 REGRESSED radius:155.146255
25 TRUE radius:71.440519 length:0.000000 shell:0.000000 aspect_ratio:14.697355 shell_ratio:0.520110 REGRESSED radius:71.210629
26 TRUE radius:63.925777 length:0.000000 shell:0.000000 aspect_ratio:10.983925 shell_ratio:0.573725 REGRESSED radius:64.190535
27 TRUE radius:357.361325 length:0.000000 shell:0.000000 aspect_ratio:12.724535 shell_ratio:0.842555 REGRESSED radius:357.422779
