0 TRUE radius:370.010830 length:342.913581 shell:0.000000 aspect_ratio:2.158041 shell_ratio:0.887143 REGRESSED radius:388.901146 length:333.077064
1 TRUE radius:216.486314 length:209.854731 shell:0.000000 aspect_ratio:2.063202 shell_ratio:0.784223 REGRESSED radius:208.057226 length:186.711901
2 TRUE radius:280.855038 length:262.100423 shell:0.000000 aspect_ratio:2.143110 shell_ratio:0.684026 REGRESSED radius:267.851002 length:261.673878
3 TRUE radius:242.746603 length:224.540186 shell:0.000000 aspect_ratio:2.162166 shell_ratio:0.783385 REGRESSED radius:219.968394 length:219.204151
4 TRUE radius:196.294369 length:184.233169 shell:0.000000 aspect_ratio:2.130934 shell_ratio:0.715810 REGRESSED radius:191.179929 length:162.211308
5 TRUE radius:374.733610 length:355.802968 shell:0.000000 aspect_ratio:2.106411 shell_ratio:0.815423 REGRESSED radius:377.893672 length:321.675722
6 TRUE radius:213.363327 length:193.876534 shell:0.000000 aspect_ratio:2.201023 shell_ratio:0.866517 REGRESSED radius:197.127472 length:177.722739
7 TRUE radius:165.316704 length:162.063957 shell:0.000000 aspect_ratio:2.040142 shell_ratio:0.818175 REGRESSED radius:184.355125 length:139.428982
8 TRUE radius:196.972838 length:184.674709 shell:0.000000 aspect_ratio:2.133187 shell_ratio:0.663844 REGRESSED radius:210.068112 length:164.004978
10 TRUE radius:442.220283 length:417.830268 shell:0.000000 aspect_ratio:2.116746 shell_ratio:0.702097 REGRESSED radius:457.180828 length:399.956477
11 TRUE radius:133.142954 length:131.071438 shell:0.000000 aspect_ratio:2.031609 shell_ratio:0.764336 REGRESSED radius:140.363886 length:122.298686
12 TRUE radius:119.572510 length:114.882527 shell:0.000000 aspect_ratio:2.081648 shell_ratio:0.867572 REGRESSED radius:143.561182 length:106.558718
13 TRUE radius:258.809133 length:240.702583 shell:0.000000 aspect_ratio:2.150447 shell_ratio:0.895337 REGRESSED radius:262.754436 length:230.467145
14 TRUE radius:224.741265 length:202.990337 shell:0.000000 aspect_ratio:2.214305 shell_ratio:0.736128 REGRESSED radius:247.600339 length:188.591828
15 TRUE radius:341.146152 length:284.127892 shell:0.000000 aspect_ratio:2.401356 shell_ratio:0.885128 REGRESSED radius:373.360536 length:278.650556
16 TRUE radius:209.370144 length:172.128416 shell:0.000000 aspect_ratio:2.432720 shell_ratio:0.653076 REGRESSED radius:237.793308 length:164.358370
